Country,Population
Lesotho,2174645
Central African Republic,4546100
Afghanistan,33736494
Somalia,13908129
Guinea-Bissau,1770526
South Sudan,11882136
Zambia,16100587
Mozambique,28010691
Sierra Leone,7237025
Chad,14009413
Botswana,2209197
Guinea,12091533
Côte d'Ivoire,23108472
Zimbabwe,15777451
Cameroon,22834522
Angola,27859305
Mali,17467905
Malawi,17573607
Burkina Faso,18110624
Papua New Guinea,7919825
Niger,19896965
Equatorial Guinea,1175389
Uganda,40144870
South Africa,55291225
Burundi,10199270
Togo,7416802
Congo,4995648
Benin,10575952
Kiribati,112407
Liberia,4499621
Madagascar,24234088
Djibouti,927414
Solomon Islands,587482
Tanzania,53879957
Namibia,2425561
Haiti,10711061
Nigeria,181181744
Vanuatu,264603
Kenya,47236259
Ethiopia,99873033
Senegal,14976994
Ghana,27582821
Fiji,892149
Rwanda,11629553
Pakistan,189380513
Gabon,1930175
Guyana,768514
Marshall Islands,52994
Mongolia,2976877
India,1309053980
Iraq,36115649
Sudan,38647803
Myanmar,52403669
Comoros,777424
Cambodia,15517635
Nepal,28656282
Mauritania,4182341
Kyrgyz Republic,5956900
Turkmenistan,5565284
Kazakhstan,17544126
Bangladesh,161200886
Philippines,101716359
Belarus,9489616
Russian Federation,144096870
Indonesia,258162113
Tonga,106364
Ukraine,45154029
Arab Republic of Egypt,93778172
Grenada,106823
Belize,359288
Uzbekistan,31298900
Suriname,553208
Timor-Leste,1240977
Tajikistan,8548651
Trinidad and Tobago,1360092
Guatemala,16252429
Bhutan,787386
Georgia,3717100
Azerbaijan,9649341
Honduras,8960829
Dominica,73162
Samoa,193759
Bolivia,10724705
Moldova,3554108
Libya,6234955
Seychelles,93419
Paraguay,6639119
Brazil,205962108
Mauritius,1262605
West Bank and Gaza,4422143
Morocco,34803322
Islamic Republic of Iran,79360487
Armenia,2916950
Thailand,68657600
R. B. de Venezuela,31155134
Bulgaria,7177991
El Salvador,6312478
Jamaica,2871934
Romania,19815481
Lithuania,2904910
Dominican Republic,10528394
Malaysia,30723155
Vietnam,93571567
Latvia,1977527
United Arab Emirates,9154302
Barbados,284217
Ecuador,16144368
Mexico,125890949
Serbia,7095383
China,1371220000
Algeria,39871528
Antigua and Barbuda,99923
North Macedonia,2079308
Argentina,43417765
Hungary,9843028
Uruguay,3431552
Brunei Darussalam,417542
Montenegro,622159
Oman,4199810
Sri Lanka,20966000
Tunisia,11273661
Poland,37986412
Slovak Republic,5423801
Croatia,4203604
Estonia,1315407
Nicaragua,6082035
Albania,2880703
Colombia,48228697
Panama,3969249
Cuba,11461432
Jordan,9159302
Czech Republic,10546059
Bosnia and Herzegovina,3535961
Lebanon,5851479
Bahrain,1371855
United States of America,320896618
Turkey,78271472
Chile,17762681
Peru,31376671
Taiwan,23485755
Saudi Arabia,31557144
Qatar,2481539
Maldives,418403
Costa Rica,4807852
Kuwait,3935794
Denmark,5683483
Belgium,11274196
Portugal,10358076
Germany,81686611
Slovenia,2063531
Finland,5479531
Greece,10820883
D. P. R. of Korea,51014947
United Kingdom,65128861
Austria,8633169
Netherlands,16939923
New Zealand,4595700
Canada,35832513
Ireland,4646554
Cyprus,1160985
France,66624068
Norway,5190239
Singapore,5535002
Malta,431874
Israel,8380100
Sweden,9799186
Italy,60730582
Luxembourg,569604
Australia,23850784
Spain,46444832
Switzerland,8282396
Japan,127141000
Iceland,330815
Andorra,78014
