Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-11-26,14.5689,14.6977,14.0412,14.4983,16617892.514179
1999-11-29,14.4315,14.4983,14.172,14.2397,5763072.9672955
1999-11-30,14.3704,14.6281,14.3704,14.4983,3444816.7024504
1999-12-01,14.6281,14.9563,14.4983,14.9563,3225431.596887
1999-12-02,15.0937,15.5508,15.0241,15.2235,3462555.9385346
1999-12-03,15.2235,15.4821,15.0937,15.4191,2471057.6659947
1999-12-06,15.5508,16.0756,15.5508,16.0079,3149244.1611875
1999-12-07,15.9458,16.0079,15.7474,15.7474,2542668.55275
1999-12-08,15.7474,16.1367,15.7474,15.8771,3990031.7619443
1999-12-09,15.8771,15.8771,15.4821,15.7474,2634009.8464149
1999-12-10,15.8771,15.8771,15.6109,15.6787,1962959.0786693
1999-12-13,15.6109,15.7474,15.4821,15.5508,1653049.0594795
1999-12-14,15.7474,16.0079,15.7474,16.0079,3312683.6544675
1999-12-15,15.9458,15.9458,15.7474,15.8103,1373691.9846271
1999-12-16,15.7474,15.7474,15.5508,15.6109,1535765.9539148
1999-12-17,15.6109,15.7474,15.5508,15.5508,1413541.6007494
1999-12-20,15.7474,15.9458,15.6787,15.9458,2553428.2110992
1999-12-21,15.8103,16.2731,15.8103,16.0079,1667785.819556
1999-12-22,16.4048,16.9287,16.4048,16.7922,3001257.2014965
1999-12-23,16.8619,17.0585,16.7321,16.7922,1369571.3090033
1999-12-27,16.8619,17.2569,16.8619,16.9287,1613990.671764
1999-12-28,16.8619,16.8619,16.4659,16.5327,1174768.7792554
1999-12-29,16.5327,17.1281,16.5327,17.1281,2108626.8483411
2000-01-03,17.4554,17.714,17.1892,17.5165,1683920.5911489
2000-01-04,17.0585,17.0585,16.6625,16.7922,2066896.0997812
2000-01-05,16.2063,16.7321,16.2063,16.6014,2849387.4586962
2000-01-06,16.6625,16.9907,16.4659,16.9287,1722292.5489219
2000-01-07,17.1892,17.9125,17.1892,17.714,4388441.9884266
2000-01-10,17.7837,18.6339,17.7837,17.9125,4625158.6640473
2000-01-11,17.6453,17.7837,17.2569,17.5842,1765831.0709943
2000-01-12,17.1892,17.5165,17.1892,17.5165,1432122.3685035
2000-01-13,17.5842,18.1711,17.5842,18.0422,2244230.8214679
2000-01-14,18.0422,18.3085,17.714,17.9125,4217223.3051275
2000-01-17,17.714,17.9125,17.714,17.7837,1854049.3704173
2000-01-18,17.8428,17.9125,17.2569,17.3867,1306142.0383707
2000-01-19,17.1281,17.5165,17.1281,17.4554,1622719.3358714
2000-01-20,17.5165,17.7837,17.318,17.714,2268130.1112949
2000-01-21,17.5842,17.9125,17.5842,17.8428,1648863.4088077
2000-01-24,17.5842,17.5842,17.0585,17.318,1241453.090195
2000-01-25,16.8619,16.8619,16.0756,16.6625,2025708.2072673
2000-01-26,16.6625,16.7922,16.4659,16.6625,1458236.0498851
2000-01-27,16.5327,16.9287,16.5327,16.9287,1044652.0537292
2000-01-28,16.9907,17.318,16.5327,16.7321,1095059.0671643
2000-01-31,16.6014,16.6014,16.4048,16.4659,944236.26102419
2000-02-01,16.7922,17.1281,16.2063,16.2731,1504184.9366407
2000-02-02,16.3361,16.4659,16.1367,16.4048,1706167.2091909
2000-02-03,16.5327,17.1281,16.5327,16.9907,1961285.4471914
2000-02-04,17.1892,17.3867,16.6625,16.7922,1509660.6564103
2000-02-07,16.7321,16.8619,16.4659,16.6014,1304289.2015185
2000-02-08,16.6014,16.6014,16.2731,16.4048,1878114.2418182
2000-02-09,16.5327,16.6014,16.0079,16.0756,3256050.5642571
2000-02-10,16.0079,16.0756,15.7474,15.9458,1494758.3147598
2000-02-11,15.7474,15.7474,15.1548,15.2836,3609866.9481296
2000-02-14,14.9563,15.8771,14.9563,15.7474,2707303.7965099
2000-02-15,16.4048,16.4048,15.8103,15.8771,2721209.5047631
2000-02-16,16.0756,16.0756,15.2836,15.4821,1883487.2590926
2000-02-17,15.4821,16.0756,15.2836,16.0756,1755379.5201307
2000-02-18,15.9458,16.4659,15.9458,16.2063,3194665.9116667
2000-02-21,15.4191,15.9458,15.4191,15.8771,1152261.2130368
2000-02-22,15.8771,16.2731,15.5508,15.5508,1219093.2898114
2000-02-23,15.6109,15.8103,15.1548,15.4191,1847765.6544865
2000-02-24,15.2836,15.5508,14.9563,15.0937,2121632.3377843
2000-02-25,15.0937,15.0937,14.6977,14.8953,1285426.525895
2000-02-28,14.3704,14.8953,14.2397,14.6281,2053966.0652324
2000-02-29,14.8953,14.8953,14.5689,14.6977,910360.1573778
2000-03-01,14.7578,14.8953,14.5689,14.7578,1370069.1017096
2000-03-02,14.7578,15.3514,14.7578,15.2235,1485707.9193665
2000-03-03,15.2836,15.5508,15.2235,15.5508,1085507.7351106
2000-03-06,15.7474,15.8771,15.3514,15.4191,1009418.8099677
2000-03-07,15.4191,15.4191,15.0937,15.2836,851326.13434594
2000-03-08,14.7578,15.1548,14.7578,15.0241,993410.84451683
2000-03-09,15.2235,15.2235,14.7578,14.7578,866514.57580447
2000-03-10,15.3514,15.3514,14.8953,14.9563,872024.87906736
2000-03-13,14.8953,15.0241,14.3704,14.5689,1673579.0786731
2000-03-14,14.7578,15.2235,14.5689,15.2235,3582151.9462106
2000-03-15,14.9563,15.0241,14.6977,14.7578,1216536.2072778
2000-03-16,15.2836,15.2836,14.8953,15.0937,1616393.7005548
2000-03-17,15.4191,15.4191,15.2235,15.2836,2167583.3205092
2000-03-20,15.2836,15.2836,15.0937,15.1548,861985.18616921
2000-03-21,15.0937,15.2235,14.8953,15.0241,675162.01150754
2000-03-22,15.4191,15.9458,15.4191,15.7474,2424433.8771278
2000-03-23,15.7474,16.0079,15.7474,15.8771,2017400.8329872
2000-03-24,16.0079,16.0756,15.8103,15.9458,1866043.5546782
2000-03-27,15.9458,15.9458,15.6109,15.6109,792945.00574785
2000-03-28,15.7474,15.7474,15.5508,15.7474,1265159.5508473
2000-03-29,15.7474,15.7474,15.4821,15.6109,1076490.8752259
2000-03-30,15.6787,15.6787,15.1548,15.2836,578955.97312107
2000-03-31,15.0937,15.2836,15.0937,15.2836,623838.0115082
2000-04-03,15.3514,15.3514,14.8275,14.8275,635415.09788041
2000-04-04,14.8275,14.8953,14.6281,14.7578,1066904.959679
2000-04-05,14.8275,14.8275,14.3704,14.5689,1288704.6218642
2000-04-06,14.6281,14.8275,14.5689,14.7578,697116.24183355
2000-04-07,14.8953,14.8953,14.4983,14.7578,868070.83300215
2000-04-10,14.9563,15.1548,14.9563,15.1548,798390.33396275
2000-04-11,15.0937,15.0937,14.8953,15.0241,568193.17081795
2000-04-12,15.1548,15.4191,15.0241,15.3514,809245.35891462
2000-04-13,15.2235,15.4191,15.2235,15.3514,609675.54701702
2000-04-14,15.4191,15.4821,15.2235,15.2836,827457.23607369
2000-04-17,14.3704,14.6281,14.172,14.4983,1573314.1957569
2000-04-18,14.8953,14.8953,14.4315,14.5689,874566.24183124
2000-04-19,14.8275,14.8275,14.4315,14.4315,1127713.2207147
2000-04-20,14.4315,14.6977,14.4315,14.6281,675635.70056703
2000-04-25,14.6977,14.7578,14.4315,14.7578,563526.49519421
2000-04-26,14.7578,14.8275,14.5689,14.5689,471179.13627026
2000-04-27,14.4315,14.6977,14.4315,14.5689,731697.63914596
2000-04-28,14.6281,14.7578,14.4315,14.6977,324287.32053321
2000-05-04,14.4983,14.6977,14.4315,14.4315,295139.72360461
2000-05-05,14.3704,14.4983,14.3704,14.4315,230670.85220429
2000-05-08,14.4315,14.4315,14.2397,14.3704,210356.71784755
2000-05-09,14.3704,14.5689,14.2998,14.4315,496231.2092066
2000-05-10,14.4315,14.6281,14.4315,14.6281,390923.42417918
2000-05-11,14.4315,14.8953,14.4315,14.8275,685413.39730395
2000-05-12,14.6977,14.6977,14.4983,14.5689,418071.46640531
2000-05-15,14.4315,14.4315,14.2998,14.4315,323442.64490942
2000-05-16,14.5689,14.8953,14.4315,14.7578,604925.03262169
2000-05-17,14.6281,14.6977,14.4315,14.6977,493221.39730645
2000-05-18,14.6281,14.6281,14.2998,14.3704,783199.79653492
2000-05-19,14.3704,14.3704,14.172,14.172,865378.5604494
2000-05-22,14.1033,14.2397,13.9124,13.9124,358882.34164601
2000-05-23,13.9124,13.9124,13.4477,13.6452,805659.15545977
2000-05-24,13.1872,13.4477,13.1872,13.3179,939063.40881696
2000-05-25,13.4477,13.5784,13.1872,13.5784,830967.98463411
2000-05-26,13.2502,13.4477,13.2502,13.3179,970125.6736918
2000-05-29,13.2502,13.5784,13.2502,13.4477,521760.11515636
2000-05-30,13.5784,13.7769,13.5164,13.6452,329079.75431434
2000-05-31,13.9124,13.9124,13.5784,13.6452,696698.09596023
2000-06-01,13.7769,13.9735,13.713,13.8447,480554.40690354
2000-06-02,13.9124,14.0412,13.6452,13.9124,443337.32820921
2000-06-05,14.0412,14.6977,13.9124,14.6977,882023.70056435
2000-06-06,14.4315,14.4315,13.9124,13.9124,505223.96544449
2000-06-07,14.1033,14.5689,14.0412,14.4315,797567.6660165
2000-06-08,14.5689,14.5689,14.2397,14.2397,784250.92513376
2000-06-09,14.2998,14.3704,14.172,14.2397,601084.16889813
2000-06-12,14.2397,14.2397,13.9735,14.1033,290934.16122462
2000-06-13,14.1033,14.2998,14.0412,14.2397,519645.28214295
2000-06-14,14.7578,14.8953,14.3704,14.6281,2140672.1228129
2000-06-15,14.6281,14.6281,14.4315,14.4983,664889.66601823
2000-06-16,14.4315,14.4315,14.172,14.2397,727358.98271607
2000-06-19,14.172,14.2998,14.0412,14.2397,777935.76966359
2000-06-20,14.3704,14.4983,14.2998,14.4315,628200.77158492
2000-06-21,14.4315,14.4315,14.2397,14.2998,355838.99423722
2000-06-23,14.1033,14.3704,14.1033,14.3704,571392.66793883
2000-06-26,14.1033,14.172,13.8447,14.0412,748901.35507663
2000-06-27,14.0412,14.0412,13.8447,13.8447,716735.56237072
2000-06-28,13.9735,13.9735,13.7769,13.8447,623672.42993431
2000-06-29,13.9124,14.172,13.7769,13.8447,1941297.2360592
2000-06-30,13.7769,13.9735,13.5164,13.5784,1263767.8272388
2000-07-03,13.7769,13.7769,13.5784,13.6452,1537828.3876959
2000-07-04,13.713,13.713,13.5784,13.6452,1984776.0230068
2000-07-05,13.6452,13.8447,13.6452,13.7769,1775437.9462341
2000-07-06,13.5784,13.6452,13.5164,13.5784,1326506.4759904
2000-07-07,13.4477,13.6452,13.4477,13.5784,3711286.7101245
2000-07-10,13.6452,13.6452,13.4477,13.5164,2212216.9865355
2000-07-11,13.5164,13.5164,13.1872,13.2502,2231061.8464201
2000-07-12,13.2502,13.4477,13.2502,13.3857,1706441.7811678
2000-07-13,13.4477,13.8447,13.4477,13.6452,2210588.4183974
2000-07-14,13.6452,13.7769,13.5784,13.6452,1737265.1055436
2000-07-17,13.7769,13.9124,13.713,13.9124,2664582.7024606
2000-07-18,14.1033,14.4315,14.1033,14.2998,2286832.4452678
2000-07-19,14.2998,14.5689,14.2998,14.3704,1201342.5258961
2000-07-20,14.2998,14.2998,14.0412,14.172,1443216.3339544
2000-07-21,14.172,14.2998,14.172,14.172,638580.01150801
2000-07-24,14.1033,14.2397,14.1033,14.172,662708.80997219
2000-07-25,14.1033,14.2998,14.1033,14.2998,1328884.3531497
2000-07-26,14.3704,14.3704,14.172,14.2397,1040437.0594874
2000-07-27,14.1033,14.1033,13.8447,13.9124,1197186.2187944
2000-07-28,13.8447,14.0412,13.7769,13.8447,810055.45104513
2000-07-31,13.6452,13.713,13.4477,13.6452,1432290.0460466
2000-08-01,13.5784,13.5784,13.2502,13.3179,862186.39922103
2000-08-02,13.4477,13.6452,13.4477,13.5784,977916.39154199
2000-08-03,13.6452,13.713,13.4477,13.5784,862687.3358813
2000-08-04,13.5784,13.713,13.5164,13.5784,378588.6449087
2000-08-07,13.5784,13.5784,13.3857,13.4477,368839.2437572
2000-08-08,13.4477,13.5164,13.3857,13.4477,725537.58540323
2000-08-09,13.4477,13.6452,13.4477,13.5164,550037.8848297
2000-08-10,13.5164,13.5164,13.3857,13.5164,606076.76774644
2000-08-11,13.4477,13.4477,13.3179,13.3179,475616.30325677
2000-08-14,13.3179,13.3857,13.2502,13.3179,318395.55085958
2000-08-16,13.4477,13.5164,13.3857,13.4477,727613.64298478
2000-08-17,13.3179,13.3179,13.1204,13.1872,685783.3358836
2000-08-18,13.1872,13.1872,12.5947,12.9563,976549.81956504
2000-08-21,12.7321,12.9219,12.7321,12.8609,991327.45104277
2000-08-22,12.8609,12.9219,12.8609,12.8952,557001.74279506
2000-08-23,12.8609,12.9916,12.8609,12.9219,725359.4280136
2000-08-24,12.9563,13.2502,12.9563,13.1872,1036619.2514261
2000-08-25,13.2502,13.7769,13.2502,13.713,1383263.2283889
2000-08-28,13.4477,13.4477,13.1872,13.2502,444991.04797886
2000-08-29,13.1872,13.1872,13.0594,13.1872,535194.23031934
2000-08-30,13.1204,13.6452,13.1204,13.3179,1263996.2878914
2000-08-31,13.3179,13.5164,13.3179,13.3179,570279.70824594
2000-09-01,13.3857,13.4477,13.1872,13.3857,1355905.5892338
2000-09-04,13.4477,13.5164,13.3857,13.3857,1009648.3186049
2000-09-05,13.5164,13.7769,13.4477,13.5784,2495694.7370117
2000-09-06,13.5164,13.5784,13.3857,13.5164,780674.15354071
2000-09-07,13.4477,13.4477,13.2502,13.3179,582219.39730529
2000-09-08,13.2502,13.2502,13.0861,13.1872,549566.29173949
2000-09-11,12.9916,13.0861,12.9219,12.9916,457088.98271958
2000-09-12,12.9219,13.3857,12.9219,13.2502,930539.10171535
2000-09-13,13.1872,13.4477,13.0861,13.1204,1146771.8694669
2000-09-14,13.1872,13.3857,13.025,13.3857,699957.32820587
2000-09-15,13.1872,13.2502,13.1204,13.1872,521003.47024275
2000-09-18,13.0594,13.2502,13.0594,13.1872,536012.706327
2000-09-19,13.0594,13.0594,12.8609,12.8952,1237221.3281989
2000-09-20,12.9219,12.9219,12.7321,12.8952,645184.41074017
2000-09-21,12.7922,12.7922,12.3342,12.3962,1750871.0901884
2000-09-22,12.0069,12.2053,11.9382,12.0069,946258.87138885
2000-09-25,12.2053,12.2664,12.0412,12.1023,470612.17657737
2000-09-26,12.0069,12.0069,11.7416,11.7416,803410.18041182
2000-09-27,11.6118,11.7416,11.482,11.5765,1051226.0614067
2000-09-28,11.5498,11.5765,11.2492,11.5498,903968.49902855
2000-09-29,11.8093,11.9048,11.7139,11.8093,1604258.0383669
2000-10-02,11.8093,11.8093,11.6118,11.6452,407065.53166457
2000-10-03,11.5154,11.5765,11.317,11.5765,444538.31861226
2000-10-04,11.4133,11.482,11.317,11.3532,390279.96160721
2000-10-05,11.482,11.6452,11.482,11.5765,740199.93857003
2000-10-06,11.6118,11.6452,11.5498,11.5498,602012.68329352
2000-10-09,11.5154,11.5154,11.2492,11.2492,646033.27830254
2000-10-10,11.317,11.317,11.1185,11.1881,600296.08444517
2000-10-11,10.9553,10.9553,10.5336,10.8876,1125219.0172598
2000-10-12,10.8265,11.086,10.8265,10.8265,1088973.4203313
2000-10-13,10.4315,10.4315,10.0688,10.2664,1684765.2667727
2000-10-16,10.8265,10.9219,10.5612,10.7912,964208.75238669
2000-10-17,10.8265,11.317,10.8265,11.1185,1789503.996138
2000-10-18,10.9553,11.1881,10.5002,10.8876,3113315.0556217
2000-10-19,11.317,11.7139,11.317,11.482,1112140.1688915
2000-10-20,11.6805,11.775,11.5765,11.7416,1129552.4337665
2000-10-23,11.7416,11.775,11.5765,11.6805,1515095.5047788
2000-10-24,11.8093,12.0412,11.8093,11.8437,1167356.383862
2000-10-25,12.1376,12.2664,11.878,11.9382,1780537.4395162
2000-10-26,11.9382,11.9735,11.6805,11.7416,739877.1592994
2000-10-27,11.7416,11.8437,11.6118,11.7416,487930.12283435
2000-10-30,11.6805,11.6805,11.4477,11.5765,462121.40498439
2000-10-31,11.6805,11.9735,11.6452,11.9048,634198.38770768
2000-11-02,12.1376,12.3342,12.0679,12.3342,1729708.0882693
2000-11-03,12.5345,12.6624,12.3962,12.3962,1629997.5892302
2000-11-06,12.5345,12.8952,12.5345,12.8609,1551814.7907668
2000-11-07,12.9219,13.0861,12.7321,12.9219,2059620.9903763
2000-11-08,12.9916,13.0594,12.8275,12.8609,736798.18041268
2000-11-09,12.7588,12.7588,12.3342,12.4639,1500548.4299229
2000-11-10,12.4639,12.4639,12.2053,12.2664,920111.65449859
2000-11-13,12.0069,12.1376,11.9735,12.1376,1668873.6276175
2000-11-14,12.3962,12.5345,12.3027,12.4992,905072.02685963
2000-11-15,12.5345,12.6624,12.3685,12.5947,845335.85411569
2000-11-16,12.4639,12.7922,12.4639,12.7922,683748.1497032
2000-11-17,12.5947,13.0594,12.5947,13.0594,1285438.0537261
2000-11-20,13.1204,13.5164,13.025,13.1872,1739113.7504572
2000-11-21,13.1872,13.4477,13.1872,13.3179,1207899.7658192
2000-11-22,13.1204,13.2502,13.025,13.1872,715665.57004828
2000-11-23,13.1872,13.3179,13.025,13.0594,850867.11707147
2000-11-24,13.1204,13.5164,13.0861,13.4477,1390714.3992142
2000-11-27,13.7769,13.8447,13.4477,13.4477,1469917.9347218
2000-11-28,13.3179,13.4477,13.1204,13.1872,1328180.1074683
2000-11-29,12.9563,13.2502,12.9563,13.0594,1645858.8368308
2000-11-30,13.1872,13.3179,13.025,13.025,1140837.1324228
2000-12-01,13.1872,13.3857,13.1204,13.2502,747095.67753347
2000-12-04,13.3179,13.5784,13.0861,13.1872,1085102.1650531
2000-12-05,13.4477,13.713,13.3857,13.713,1350482.2686965
2000-12-06,13.8447,14.1033,13.713,13.9735,2489001.2590847
2000-12-07,13.7769,14.0412,13.7769,13.8447,1316048.637219
2000-12-08,13.9735,14.0412,13.9124,13.9124,1249469.1247438
2000-12-11,13.8447,14.0412,13.713,13.7769,890106.80613046
2000-12-12,13.713,14.0412,13.713,14.0412,1190340.7830939
2000-12-13,14.0412,14.2397,13.9124,14.2397,2521252.9865315
2000-12-14,14.1033,14.4983,14.1033,14.3704,2261298.2993948
2000-12-15,14.2998,14.4315,14.1033,14.1033,1231212.184245
2000-12-18,14.1033,14.1033,13.8447,13.9124,905913.55852949
2000-12-19,13.9735,14.2397,13.9124,14.172,1521204.2072739
2000-12-20,13.9735,14.1033,13.6452,13.7769,1282195.5892348
2000-12-21,13.713,14.2397,13.713,14.1033,2248491.9270341
2000-12-22,14.4315,14.8275,14.3704,14.7578,3041296.5028395
2000-12-27,14.9563,15.0241,14.6977,14.7578,1300955.5623631
2000-12-28,14.6281,14.7578,14.4315,14.4983,751189.10555645
2000-12-29,14.4315,15.0937,14.4315,14.7578,2949846.2187716
2001-01-02,14.6281,14.8953,14.4983,14.8275,594696.70248747
2001-01-03,14.6977,14.8953,14.4315,14.6281,1207780.2955697
2001-01-04,14.8953,14.9563,14.4315,14.4983,1208789.5047827
2001-01-05,14.5689,14.6281,14.2397,14.2397,1317363.8579483
2001-01-08,14.172,14.2998,13.713,13.713,1506503.0786752
2001-01-09,13.9124,13.9735,13.5784,13.9735,1923932.1304932
2001-01-10,13.7769,14.0412,13.713,13.7769,1433804.3838585
2001-01-11,13.7769,13.9124,13.5784,13.5784,1178652.6103494
2001-01-12,13.713,13.9124,13.5784,13.713,682771.42801415
2001-01-15,13.7769,13.9735,13.713,13.9124,1290893.8617874
2001-01-16,13.8447,14.0412,13.6452,13.9735,1015049.6314647
2001-01-17,13.9735,14.2397,13.9124,14.172,1682512.0997862
2001-01-18,14.0412,14.3704,14.0412,14.2998,1359892.122823
2001-01-19,14.3704,14.4983,14.2998,14.4315,1742490.3569831
2001-01-22,14.2998,14.4315,14.1033,14.1033,956457.85795301
2001-01-23,14.1033,14.2397,13.9735,14.172,769046.76390555
2001-01-24,14.2998,14.2998,14.1033,14.1033,754051.15162167
2001-01-25,14.1033,14.4315,13.9735,14.2998,1086122.9020972
2001-01-26,14.1033,14.5689,14.0412,14.3704,1438489.9232059
2001-01-29,14.2397,14.6281,14.2397,14.4315,1020715.0364551
2001-01-30,14.5689,14.6281,14.2998,14.3704,667666.82532721
2001-01-31,14.3704,14.4315,14.2397,14.2998,620326.21496314
2001-02-01,14.2998,14.3704,14.172,14.3704,964176.2648627
2001-02-02,14.4315,14.4315,14.2397,14.2397,1016865.7888543
2001-02-05,14.2397,14.2397,13.7769,13.8447,1327946.4068925
2001-02-06,13.8447,14.0412,13.5784,13.8447,1518768.6909591
2001-02-07,13.713,13.8447,13.3179,13.5164,1637919.305161
2001-02-08,13.4477,13.7769,13.4477,13.713,1025017.0134224
2001-02-09,13.713,13.7769,13.3857,13.4477,649462.28406065
2001-02-12,13.3179,13.5164,13.2502,13.4477,533563.56621187
2001-02-13,13.4477,13.6452,13.4477,13.6452,322412.47600349
2001-02-14,13.4477,13.5164,13.1872,13.3179,830251.163137
2001-02-15,13.1872,13.1872,12.7922,12.9563,1325562.2418254
2001-02-16,12.9563,12.9563,12.3685,12.3962,1341721.1170651
2001-02-19,12.4639,12.7321,12.3962,12.5345,1355981.0441282
2001-02-20,12.63,12.7588,12.3962,12.3962,1171654.1688907
2001-02-21,12.2053,12.5345,12.0069,12.171,1415641.7619778
2001-02-22,12.2053,12.3962,11.9048,11.9048,1114352.4644769
2001-02-23,12.0069,12.233,11.878,11.9382,1317970.6410577
2001-02-26,12.1023,12.171,12.0412,12.0412,491568.72552144
2001-02-27,12.0679,12.0679,11.6118,11.6805,585493.30133596
2001-02-28,11.482,11.775,11.3866,11.7139,847949.52782007
2001-03-01,11.482,11.5498,11.2158,11.317,1056002.7754181
2001-03-02,11.2845,11.5765,11.2845,11.482,1407280.9404807
2001-03-05,11.5154,11.878,11.5154,11.878,1263064.6295421
2001-03-06,12.0679,12.2053,12.0069,12.171,1239580.3416346
2001-03-07,12.1376,12.3342,12.0412,12.2664,898955.988472
2001-03-08,12.3342,12.3685,11.9382,11.9382,489615.28214335
2001-03-09,11.9382,11.9382,11.5498,11.5765,854318.13050712
2001-03-12,11.482,11.5498,11.1185,11.2158,1138520.0383729
2001-03-13,11.1881,11.6805,11.1881,11.5765,1420680.4721504
2001-03-14,11.6118,11.6805,11.086,11.2492,2070722.2917197
2001-03-15,11.3532,11.9048,11.2845,11.9048,1023910.3416374
2001-03-16,11.8093,12.0069,11.7139,11.878,1009491.1209082
2001-03-19,11.878,12.0412,11.775,11.775,1161605.0441308
2001-03-20,11.9735,12.2053,11.878,12.1376,782956.6640973
2001-03-21,11.9048,12.2053,11.878,12.0412,569472.76006937
2001-03-22,11.9382,11.9382,11.6805,11.7416,1066434.4145735
2001-03-23,12.0679,12.1376,11.9735,12.0412,718457.40114229
2001-03-26,12.171,12.2664,12.0679,12.1376,875197.12858747
2001-03-27,12.0069,12.1023,11.878,12.0069,635677.09404164
2001-03-28,12.0069,12.3027,12.0069,12.0679,886847.57388482
2001-03-29,12.0069,12.1023,11.9048,12.0412,429014.52206736
2001-03-30,12.0412,12.1023,11.9735,12.0069,466080.69097283
2001-04-02,11.9382,12.0069,11.7416,11.8093,421894.51438991
2001-04-03,11.6118,11.6118,11.4133,11.482,849210.25334788
2001-04-04,11.2158,11.3866,11.2158,11.2845,883750.77925914
2001-04-05,11.3532,11.3866,11.2845,11.3532,526847.03262271
2001-04-06,11.4477,11.7139,11.4133,11.7139,848293.26678359
2001-04-09,11.6452,11.7416,11.5765,11.7416,440099.05565647
2001-04-10,11.7416,12.1376,11.7416,12.0412,937174.94048685
2001-04-11,12.1376,12.2664,12.0679,12.2053,946983.02877847
2001-04-12,12.1376,12.4639,12.0412,12.2664,856150.00766641
2001-04-17,11.9048,12.171,11.9048,12.1376,478167.09788246
2001-04-18,12.3962,12.8609,12.3962,12.8609,1005397.6928852
2001-04-19,13.2502,13.3857,13.025,13.025,1348980.5067003
2001-04-20,13.0594,13.3857,12.9219,12.9563,1241222.5335731
2001-04-23,12.8275,13.025,12.7922,12.8275,636318.46064432
2001-04-24,12.8952,12.9219,12.7588,12.7588,800282.99423144
2001-04-25,12.6977,12.9563,12.6977,12.9563,432457.15162585
2001-04-26,12.9563,13.1872,12.9219,13.0594,915064.56044875
2001-04-27,13.0594,13.2502,12.9219,13.025,1266132.0805977
