total_bill,tip,sex,smoker,day,time,size,date
18.64,1.36,Female,No,Thur,Lunch,3,2023-02-02 11:04:39
22.76,3.0,Male,No,Thur,Lunch,2,2023-02-02 11:05:09
14.15,2.0,Female,No,Thur,Lunch,2,2023-02-02 11:08:50
20.27,2.83,Female,No,Thur,Lunch,2,2023-02-02 11:10:11
43.11,5.0,Female,Yes,Thur,Lunch,4,2023-02-02 11:15:38
12.74,2.01,Female,Yes,Thur,Lunch,2,2023-02-02 11:27:08
16.43,2.3,Female,No,Thur,Lunch,2,2023-02-02 11:35:02
15.95,2.0,Male,No,Thur,Lunch,2,2023-02-02 11:35:06
19.44,3.0,Male,Yes,Thur,Lunch,2,2023-02-02 11:36:26
18.26,3.25,Female,No,Thur,Lunch,2,2023-02-02 11:43:26
13.03,2.0,Male,No,Thur,Lunch,2,2023-02-02 11:49:34
7.56,1.44,Male,No,Thur,Lunch,2,2023-02-02 11:49:47
24.08,2.92,Female,No,Thur,Lunch,4,2023-02-02 12:09:39
21.16,3.0,Male,No,Thur,Lunch,2,2023-02-02 12:22:52
10.34,2.0,Male,Yes,Thur,Lunch,2,2023-02-02 12:24:21
28.44,2.56,Male,Yes,Thur,Lunch,2,2023-02-02 12:40:13
13.16,2.75,Female,No,Thur,Lunch,2,2023-02-02 12:53:02
27.2,4.0,Male,No,Thur,Lunch,4,2023-02-02 12:57:51
19.08,1.5,Male,No,Thur,Lunch,2,2023-02-02 13:02:58
24.71,5.85,Male,No,Thur,Lunch,2,2023-02-02 13:18:11
11.17,1.5,Female,No,Thur,Lunch,2,2023-02-02 13:22:35
12.48,2.52,Female,No,Thur,Lunch,2,2023-02-02 13:23:00
10.65,1.5,Female,No,Thur,Lunch,2,2023-02-02 13:31:34
16.4,2.5,Female,Yes,Thur,Lunch,2,2023-02-02 13:43:43
13.0,2.0,Female,Yes,Thur,Lunch,2,2023-02-02 14:05:22
16.0,2.0,Male,Yes,Thur,Lunch,2,2023-02-02 14:07:24
18.28,4.0,Male,No,Thur,Lunch,2,2023-02-02 14:33:30
14.26,2.5,Male,No,Thur,Lunch,2,2023-02-02 14:38:03
9.78,1.73,Male,No,Thur,Lunch,2,2023-02-02 14:47:31
29.8,4.2,Female,No,Thur,Lunch,6,2023-02-02 14:48:10
15.48,2.02,Male,Yes,Thur,Lunch,2,2023-02-02 14:58:09
34.83,5.17,Female,No,Thur,Lunch,4,2023-02-02 15:03:10
41.19,5.0,Male,No,Thur,Lunch,5,2023-02-02 15:06:25
20.53,4.0,Male,Yes,Thur,Lunch,4,2023-02-02 15:10:09
10.33,2.0,Female,No,Thur,Lunch,2,2023-02-02 15:18:14
11.38,2.0,Female,No,Thur,Lunch,2,2023-02-02 15:20:20
11.69,2.31,Male,No,Thur,Lunch,2,2023-02-02 15:55:51
12.43,1.8,Female,No,Thur,Lunch,2,2023-02-02 16:33:44
19.81,4.19,Female,Yes,Thur,Lunch,2,2023-02-02 16:50:36
8.35,1.5,Female,No,Thur,Lunch,2,2023-02-02 16:51:09
17.47,3.5,Female,No,Thur,Lunch,2,2023-02-02 16:51:35
16.58,4.0,Male,Yes,Thur,Lunch,2,2023-02-02 16:51:41
10.07,1.83,Female,No,Thur,Lunch,1,2023-02-02 16:58:26
17.29,2.71,Male,No,Thur,Lunch,2,2023-02-02 17:00:52
27.05,5.0,Female,No,Thur,Lunch,6,2023-02-02 17:28:18
7.51,2.0,Male,No,Thur,Lunch,2,2023-02-02 17:34:18
11.87,1.63,Female,No,Thur,Lunch,2,2023-02-02 17:35:35
8.51,1.25,Female,No,Thur,Lunch,2,2023-02-02 17:42:39
12.26,2.0,Female,No,Thur,Lunch,2,2023-02-02 17:44:39
15.98,2.03,Male,No,Thur,Lunch,2,2023-02-02 17:48:42
32.68,5.0,Male,Yes,Thur,Lunch,2,2023-02-02 17:51:32
13.42,1.68,Female,No,Thur,Lunch,2,2023-02-02 18:15:38
13.51,2.0,Male,Yes,Thur,Lunch,2,2023-02-02 18:25:23
16.47,3.23,Female,Yes,Thur,Lunch,3,2023-02-02 18:25:26
34.3,6.7,Male,No,Thur,Lunch,6,2023-02-02 18:25:47
18.71,4.0,Male,Yes,Thur,Lunch,3,2023-02-02 18:33:59
16.66,3.4,Male,No,Thur,Lunch,2,2023-02-02 18:36:26
14.52,2.0,Female,No,Thur,Lunch,2,2023-02-02 18:39:20
13.0,2.0,Female,Yes,Thur,Lunch,2,2023-02-02 18:45:41
8.52,1.48,Male,No,Thur,Lunch,2,2023-02-02 18:56:17
22.82,2.18,Male,No,Thur,Lunch,3,2023-02-02 18:58:35
18.78,3.0,Female,No,Thur,Dinner,2,2023-02-02 19:22:47
